id,statement,option1,option2,option3,option4,option5,correct_answer,correct_answers,explanation,erro_alternative1,erro_alternative2,erro_alternative3,erro_alternative4,erro_alternative5,source
1141,"A consultancy is tapped to build a supply chain app for a beverage
maker. In a client meeting, they flag a budget issue. Where did the
project manager spot this?",Project exclusions,Project assumptions,Project deliverables,Project constraints,,2,,,,,,,,1500_questions.txt
1142,"John, VP of customer ops and sponsor of Project A, meets Sue, the
project manager, to tackle a ballooning budget. What's typically the
biggest project cost driver?",Resources,Vendors,Materials,Travel,,1,,"Resources---human, material, and supplies---usually dominate project
expenses.",,,,,,1500_questions.txt
1143,"While shaping a project management training curriculum, you join PMI® to
align with best practices. Volunteering for their Scope Statement
standard, now released, prompts what action?",Boosting your PM skills,Issuing a corrective tweak,Taking preventive steps,Updating your plan pronto,,2,,"Post-release, aligning with the new standard via a corrective change
request keeps your project on PMI®'s track.",,,,,,1500_questions.txt
1144,"Bethany oversees a big equipment install in Mexico, using an interpreter
to bridge her Spanish gap. To empower and connect with key stakeholders,
which document guides her on communication needs?",\* RACI Chart,\* Stakeholder management plan,\* Stakeholder register,\* Stakeholder engagement matrix,,2,,"The stakeholder management plan details communication needs, unlike the
register's basic list or the matrix's engagement focus.",,,,,,1500_questions.txt
1145,"Martha manages Project THQ, five weeks in, on budget and a week ahead. A
developer finishes a key task needing government compliance. What's her
next step?",\* Check the deliverable for accuracy.,\* Assign a teammate to review it.,\* Do nothing; it's done.,\* Ask the developer to recheck.,,1,,"Martha should verify the deliverable herself to ensure compliance,
avoiding risks of inaction or delegation.",,,,,,1500_questions.txt
1146,"A plant project's ready for handover, but the maintenance manager flags
noncompliance with standards. What should've been done?",Lean on expert advice.,File a change request.,Map stakeholder needs.,Update the comms plan.,,3,,,,,,,,1500_questions.txt
1147,"A team's cutting-edge prototype flops in testing against specs. What's
the project manager's move?",Seek a deviation from the CCB.,Dig into the root cause.,Haggle specs with the sponsor.,Notify the sponsor and fix it.,,2,,,,,,,,1500_questions.txt
1148,What best sums up stakeholders?,Team members executing the plan,Anyone impacted by or perceiving impact from project choices,The lead tasked with hitting goals,Resource providers accountable for success,,2,,"Per PMBOK® 6th, stakeholders are those affecting or affected by project
decisions.",,,,,,1500_questions.txt
1149,Blending Theory Y and Hygiene Theory yields what motivational framework?,Recognition and Rewards,Situational Leadership,Tannenbaum and Schmidt,Contingency,,4,,"Contingency Theory merges Theory Y's optimism with Hygiene's drive for
competency.",,,,,,1500_questions.txt
1150,"A project manager inherits a two-year strategic effort spanning
continents, with tricky multilingual, time-zone communication. For team
roles and work locations, which document helps?",Business environment factors,Activity details,Comms plan,Work breakdown structure (WBS),,4,,,,,,,,1500_questions.txt
1151,"Sue, head of an enterprise PMO, presents her role at the annual meeting,
stressing alignment of projects with strategic goals. What's she
outlining?",Organizational project management,Business oversight,PMI Talent Triangle™,Portfolio management,,1,,"OPM integrates portfolio, program, and project efforts with strategic
aims, per PMBOK®.",,,,,,1500_questions.txt
1152,"A firm with a big PMO launches a mentorship program to grow talent.
Enthusiasm's high, but loose structure sparks issues---like a team
member overwhelmed by a program manager's off-target mentoring. How to
fix it?",\* Scrap it; it's poorly planned.,\* Pair mentors and mentees by goals.,\* Do nothing; she should be grateful.,\* Randomize pairings.,,2,,Matching goals beats scrapping a promising idea or ignoring mismatches.,,,,,,1500_questions.txt
1153,"As an agile team lead, Bianca ropes everyone into problem-solving. What
signal does this send?",\* Team members can step beyond their roles.,\* She's clueless on the fix.,\* She doubts business partners' answers.,\* She distrusts one member's idea.,,1,,"Involving all shows trust in their broader contributions, a hallmark of
agile teamwork.",,,,,,1500_questions.txt
1154,"Ideally, a project manager would craft cost estimates",Pre-budget finalization,Post-budget approval,Via parametric models tailored to the project,With bottom-up techniques,,1,,"Estimates should precede budget completion for accuracy, though often
they follow approval.",,,,,,1500_questions.txt
1155,What's an example of push communication?,Intranet portals,Video calls,Knowledge hubs,Press releases,,4,,,,,,,,1500_questions.txt
1156,"At Lightning Bolt Enterprises, you're researching a new rechargeable
battery. A stakeholder's approved change request tweaks the product
scope. Pick three true statements.","The product scope description, part of the charter, shapes project
scope.",The project scope statement guides team work and future calls.,Product analysis turns descriptions into deliverables.,Change requests outside the original scope should be nixed.,,,"2,3,4","The scope statement, not just the charter, drives work; analysis refines
deliverables; and off-scope changes face rejection.",,,,,,1500_questions.txt
1157,"Nancy, a seasoned systems engineer, takes on her first PM role due to
her knack for leadership. She falters, missing a milestone and
overshooting budget by \$20,000. What PMI Talent Triangle™ piece is she
missing?",Schedule mastery,Technical PM skills,Leadership,Strategic insight,,2,,"Her technical PM gap---not leadership or strategy---trips her up on
budget and timeline.",,,,,,1500_questions.txt
1158,Choose two true statements about lateral thinking.,It's tackling problems from fresh angles.,It's parallel analysis.,Edward de Bono coined and studied it.,It's a risk identification tool.,,,"1,3","Lateral thinking, per de Bono, reframes problems uniquely, aiding scope
via alternative analysis.",,,,,,1500_questions.txt
1159,"Deidra joins a software project mid-execution with an unclear
methodology. A developer resists documenting requirements, citing
slowdowns. How should she secure docs while building rapport?",\* Mandate a backlog for tracking.,\* Find common ground on doc needs.,\* Sidestep the issue entirely.,\* Team up to define doc levels.,,4,,"Collaboration balances doc needs with team harmony, fostering a win-win.",,,,,,1500_questions.txt
1160,"Yulonda's gathering requirements for her scope plan, tapping lessons
from a peer's 20 similar projects. What data technique is this?",\* Interviews,\* Benchmarking,\* Surveys,\* Brainstorming,,2,,"Benchmarking leverages past projects for best practices and performance
baselines.",,,,,,1500_questions.txt
1161,"Mid-project, the manager sees stakeholders' delivery hopes diverging
from the plan. What could've prevented this?","Set acceptance criteria, assumptions, and requirements docs.",Reviewed expectations with the sponsor.,Built a traceability matrix.,Kept a risk log for scope creep.,,1,,,,,,,,1500_questions.txt
1162,"Stakeholders OK the business case with past lessons, but new laws shift
regs. What should the PM use to fix this?",Data crunching and SOW,Facilitation and business factors,Facilitation and charter,Alternatives and process assets,,4,,,,,,,,1500_questions.txt
1163,"Halfway through a software design phase, the PM sees tasks slipping.
What's the first step?",Email stakeholders the delay and update the plan.,Note the lag for the next meeting.,Adjust task dates in the plan.,Log the issue.,,1,,,,,,,,1500_questions.txt
1164,"In a change control meeting, you review a request to double scope with
little benefit gain. The submitter, a bigwig, often gets bloated changes
approved. What power type is this?",Referent,Expert,Punishment,Legitimate,,4,,"Their position fuels legitimate power, swaying approvals.",,,,,,1500_questions.txt
1165,"Ashley, scrum master for Project Y, faces a developer's gripe in a
standup about crafting a team mission statement over urgent tasks. How
should she reply?",\* Bargain to prioritize the statement.,\* Drop it per the developer's view.,\* Stress its role in guiding direction.,\* Pivot to another topic.,,3,,"Mission statements steer decisions, vital despite seeming less urgent.",,,,,,1500_questions.txt
